"DATE","TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","ON STREET NAME","CROSS STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","UNIQUE KEY","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2"
"08/24/2015","11:00","MANHATTAN",10027,40.8156907,-73.9582947,"WEST 125 STREET","BROADWAY",0,0,0,0,0,0,0,0,"Fatigued/Drowsy","Unspecified",3283819,"OTHER","PASSENGER VEHICLE"
"08/24/2015","11:05","MANHATTAN",10011,40.745208,-74.0022664,"WEST 21 STREET","9 AVENUE",0,0,0,0,0,0,0,0,"Lost Consciousness","Unspecified",3283743,"PASSENGER VEHICLE","PASSENGER VEHICLE"
"08/24/2015","11:30","MANHATTAN",10027,40.8133899,-73.9562587,"WEST 125 STREET","AMSTERDAM AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",3283820,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON"
"08/24/2015","11:30","MANHATTAN",10014,40.7423751,-74.0087909,"11 AVENUE","WEST 14 STREET",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",3283734,"VAN","PASSENGER VEHICLE"
"08/24/2015","11:40","MANHATTAN",10023,40.7774101,-73.9787983,"COLUMBUS AVENUE","WEST 72 STREET",0,0,0,0,0,0,0,0,"Unspecified",,3283805,"SMALL COM VEH(4 TIRES)","SMALL COM VEH(4 TIRES)"
"08/24/2015","11:45","MANHATTAN",10038,40.7059963,-74.0052046,"FRONT STREET","FLETCHER STREET",0,0,0,0,0,0,0,0,"Oversized Vehicle","Unspecified",3283190,"VAN","PASSENGER VEHICLE"
"08/24/2015","12:00","MANHATTAN",10007,40.7139418,-74.0123258,"BARCLAY STREET","WASHINGTON STREET",0,0,0,0,0,0,0,0,"Passenger Distraction","Other Vehicular",3283192,"TAXI","OTHER"
"08/24/2015","12:05","MANHATTAN",10016,40.7509045,-73.9806727,"EAST 39 STREET","MADISON AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",3283760,"SPORT UTILITY / STATION WAGON","VAN"
"08/24/2015","12:10","MANHATTAN",10027,40.8087525,-73.9596501,"WEST 119 STREET","AMSTERDAM AVENUE",0,0,0,0,0,0,0,0,"Driver Inexperience",,3283818,"OTHER","SPORT UTILITY / STATION WAGON"
"08/24/2015","12:15","MANHATTAN",10027,40.8087525,-73.9596501,"WEST 119 STREET","AMSTERDAM AVENUE",0,0,0,0,0,0,0,0,"Driver Inexperience","Unspecified",3283817,"SPORT UTILITY / STATION WAGON","UNKNOWN"
